Pl.;Spieler;G;MIN;PTS;2PM;2PA;2P %;3PM;3PA;3P %;FGM;FGA;FG %;FTM;FTA;FT %;DREB;OREB;TREB;AST;STL;TOV;BLK;PF;FD;EF;+/-
;Team;;;;;;;;;;;;;;;;;;;;;;;;;;
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
103;PRESSEY P. (PG);22;499:49:00;188;32;57;56.1%;30;82;36.6%;62;139;44.6%;34;44;77.3%;51;4;55;87;33;39;2;51;51;239;43
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
76;SIKMA L. (PF);18;392:19:00;185;56;97;57.7%;16;44;36.4%;72;141;51.1%;25;32;78.1%;97;31;128;74;25;32;6;30;54;310;148
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
77;MIKE I. (PF);18;504:19:00;185;47;77;61.0%;20;52;38.5%;67;129;51.9%;31;42;73.8%;71;29;100;24;15;30;15;44;42;236;-53
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
92;VORHEES W. (PF);20;394:30:00;185;57;111;51.4%;13;37;35.1%;70;148;47.3%;32;42;76.2%;50;31;81;24;6;40;1;63;41;169;-144
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
105;WALKER D. (SF);22;681:44:00;182;30;61;49.2%;32;76;42.1%;62;137;45.3%;26;31;83.9%;48;5;53;71;24;33;3;41;35;220;1
;medi bayreuth;;;;;;;;;;;;;;;;;;;;;;;;;;
108;GüNTHER P. (PG);22;318:50:00;181;21;50;42.0%;22;62;35.5%;43;112;38.4%;73;74;98.7%;25;1;26;52;6;30;0;35;52;165;108
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
102;KESSENS M. (C);21;396:37:00;180;73;120;60.8%;0;0;0.0%;73;120;60.8%;34;54;63.0%;70;41;111;13;6;41;8;64;43;210;26
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
48;SEELEY D. (SG);15;333:38:00;175;29;56;51.8%;23;63;36.5%;52;119;43.7%;48;54;88.9%;14;8;22;36;7;28;3;31;53;142;36
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
100;MCNEACE J. (C);20;354:40:00;175;76;107;71.0%;0;1;0.0%;76;108;70.4%;23;48;47.9%;58;39;97;6;12;23;11;51;38;221;54
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
112;HIGHSMITH H. (SF);22;600:16:00;175;39;64;60.9%;24;85;28.2%;63;149;42.3%;25;39;64.1%;65;31;96;30;29;32;14;65;37;212;23
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
94;DORETH B. (PG);19;546:17:00;173;26;38;68.4%;32;82;39.0%;58;120;48.3%;25;27;92.6%;38;7;45;107;15;27;0;50;35;249;-29
;medi bayreuth;;;;;;;;;;;;;;;;;;;;;;;;;;
114;HOBBS B. (PG);22;383:58:00;172;14;24;58.3%;43;94;45.7%;57;118;48.3%;15;17;88.2%;39;7;46;81;25;24;7;15;18;244;101
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
117;CHRISTEN R. (SF);22;494:35:00;171;26;41;63.4%;30;90;33.3%;56;131;42.8%;29;34;85.3%;62;24;86;18;12;25;2;44;32;184;-80
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
57;BALDWIN W. (PG);15;315:21:00;167;40;70;57.1%;18;56;32.1%;58;126;46.0%;33;42;78.6%;34;4;38;54;14;30;4;38;51;170;97
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
91;WIMBERG J. (PF);18;506:09:00;167;39;66;59.1%;19;48;39.6%;58;114;50.9%;32;33;97.0%;65;15;80;23;17;23;23;45;32;230;-50
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
104;THIEMANN J. (C);20;348:28:00;166;51;88;58.0%;10;29;34.5%;61;117;52.1%;34;44;77.3%;62;32;94;19;12;24;2;33;52;203;64
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
118;HUNDT B. (PG);21;495:00:00;162;36;92;39.1%;18;66;27.3%;54;158;34.2%;36;46;78.3%;22;5;27;93;7;49;2;49;73;128;11
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
120;HILL K. (PF);21;598:03:00;161;37;76;48.7%;16;55;29.1%;53;131;40.5%;39;45;86.7%;73;37;110;35;24;40;9;52;37;215;-41
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
71;GAILIUS D. (SF);15;335:07:00;160;22;50;44.0%;24;61;39.3%;46;111;41.4%;44;55;80.0%;36;10;46;20;5;23;1;34;51;133;-70
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
